# NumberResearch.org area code dataset. License CC BY 4.0. Underlying data: NANPA (nanpa.com), file date 09/17/2026. Retrieved via numberresearch.org/datasets
npa,kind,status,country,region,in_service_date,parent_npa,dialing_pattern
501,geographic,in_service,US,AR,1947-01-01,,10D
502,geographic,in_service,US,KY,1947-01-01,,7D
503,geographic,in_service,US,OR,1947-01-01,,10D
504,geographic,in_service,US,LA,1947-01-01,,10D
505,geographic,in_service,US,NM,1947-01-01,,10D
506,geographic,in_service,CANADA,NEW BRUNSWICK,1955-01-01,,10D
507,geographic,in_service,US,MN,1954-01-01,,10D
508,geographic,in_service,US,MA,1988-07-16,617,10D
509,geographic,in_service,US,WA,1957-01-01,,10D
510,geographic,in_service,US,CA,1991-09-02,415,1+10D
511,non_geographic,not_assignable,,,,,
512,geographic,in_service,US,TX,1947-01-01,,10D
513,geographic,in_service,US,OH,1947-01-01,,10D
514,geographic,in_service,CANADA,QUEBEC,1947-01-01,,10D
515,geographic,in_service,US,IA,1947-01-01,,10D
516,geographic,in_service,US,NY,1951-01-01,914,10D
517,geographic,in_service,US,MI,1947-01-01,,7D
518,geographic,in_service,US,NY,1947-01-01,,10D
519,geographic,in_service,CANADA,ONTARIO,1953-01-01,,10D
520,geographic,in_service,US,AZ,1995-03-19,602,10D
521,non_geographic,in_service,US,,2017-09-21,500,NA
522,non_geographic,in_service,US,,2016-08-01,500,NA
523,non_geographic,in_service,US,,2018-11-13,500,NA
524,non_geographic,in_service,US,,2019-07-12,500,NA
525,non_geographic,in_service,US,,2020-07-13,500,NA
526,non_geographic,in_service,US,,2021-01-28,500,NA
527,non_geographic,in_service,US,,2021-09-29,500,NA
528,non_geographic,in_service,US,,2022-03-02,500,NA
529,non_geographic,in_service,US,,2022-09-16,500,NA
530,geographic,in_service,US,CA,1997-11-01,916,1+10D
531,geographic,in_service,US,NE,2011-03-26,402,10D
532,non_geographic,in_service,US,,2024-11-04,500,NA
533,non_geographic,in_service,US,,2009-09-26,500,NA
534,geographic,in_service,US,WI,2010-08-14,715,10D
535,non_geographic,reserved,,,,,
536,geographic,unassigned,,,,,
537,geographic,reserved,CANADA,,,,
538,non_geographic,in_service,US,,2025-10-28,500,NA
539,geographic,in_service,US,OK,2011-04-01,918,10D
540,geographic,in_service,US,VA,1995-07-15,703,10D
541,geographic,in_service,US,OR,1995-11-05,503,10D
542,non_geographic,in_service,US,,2026-05-26,500,NA
543,non_geographic,planned,,,,,
544,non_geographic,in_service,US,,2010-12-15,500,NA
545,non_geographic,reserved,,,,,
546,non_geographic,reserved,,,,,
547,non_geographic,reserved,,,,,
548,geographic,in_service,CANADA,ONTARIO,2016-06-04,226,10D
549,non_geographic,reserved,,,,,
550,non_geographic,reserved,,,,,
551,geographic,in_service,US,NJ,2001-12-29,201,10D
552,non_geographic,reserved,,,,,
553,non_geographic,reserved,,,,,
554,non_geographic,reserved,,,,,
555,non_geographic,not_assignable,,,,,
556,non_geographic,reserved,,,,,
557,geographic,in_service,US,MO,2022-08-12,314,10D
558,non_geographic,reserved,,,,,
559,geographic,in_service,US,CA,1998-11-14,209,1+10D
560,geographic,unassigned,,,,,
561,geographic,in_service,US,FL,1996-05-13,407,10D
562,geographic,in_service,US,CA,1997-01-25,310,1+10D
563,geographic,in_service,US,IA,2001-03-25,319,7D
564,geographic,in_service,US,WA,2017-08-28,360,10D
565,geographic,planned,US,GA,2027-12-06,912,10D
566,non_geographic,in_service,US,,2012-04-17,500,NA
567,geographic,in_service,US,OH,2002-01-01,419,10D
568,geographic,reserved,CANADA,,,,
569,non_geographic,reserved,,,,,
570,geographic,in_service,US,PA,1998-12-05,717,10D
571,geographic,in_service,US,VA,2000-03-01,703,10D
572,geographic,in_service,US,OK,2021-05-24,405,10D
573,geographic,in_service,US,MO,1996-01-07,314,10D
574,geographic,in_service,US,IN,2002-01-15,219,10D
575,geographic,in_service,US,NM,2007-10-07,505,10D
576,geographic,unassigned,,,,,
577,non_geographic,in_service,US,,2014-03-27,500,NA
578,non_geographic,reserved,,,,,
579,geographic,in_service,CANADA,QUEBEC,2010-08-21,450,10D
580,geographic,in_service,US,OK,1997-11-01,405,7D
581,geographic,in_service,CANADA,QUEBEC,2008-09-19,418,10D
582,geographic,in_service,US,PA,2021-05-01,814,10D
583,geographic,reserved,,,,,
584,geographic,in_service,CANADA,MANITOBA,2022-10-29,204,10D
585,geographic,in_service,US,NY,2001-11-15,716,7D
586,geographic,in_service,US,MI,2001-09-22,810,7D
587,geographic,in_service,CANADA,ALBERTA,2008-09-19,780,10D
588,non_geographic,in_service,US,,2015-09-09,500,NA
589,non_geographic,reserved,,,,,
590,non_geographic,reserved,,,,,
591,non_geographic,reserved,,,,,
592,non_geographic,reserved,,,,,
593,non_geographic,reserved,,,,,
594,non_geographic,reserved,,,,,
595,non_geographic,reserved,,,,,
596,non_geographic,reserved,,,,,
597,non_geographic,reserved,,,,,
598,non_geographic,reserved,,,,,
599,non_geographic,reserved,,,,,
600,non_geographic,in_service,CANADA,,1993-10-01,,NA
601,geographic,in_service,US,MS,1947-01-01,,10D
602,geographic,in_service,US,AZ,1947-01-01,,10D
603,geographic,in_service,US,NH,1947-01-01,,10D
604,geographic,in_service,CANADA,BRITISH COLUMBIA,1947-01-01,,10D
605,geographic,in_service,US,SD,1947-01-01,,10D
606,geographic,in_service,US,KY,1955-01-01,,7D
607,geographic,in_service,US,NY,1954-01-01,,10D
608,geographic,in_service,US,WI,1955-01-01,,10D
609,geographic,in_service,US,NJ,1957-01-01,201,10D
610,geographic,in_service,US,PA,1994-01-08,215,10D
611,non_geographic,not_assignable,,,,,
612,geographic,in_service,US,MN,1947-01-01,,7D
613,geographic,in_service,CANADA,ONTARIO,1947-01-01,,10D
614,geographic,in_service,US,OH,1947-01-01,,10D
615,geographic,in_service,US,TN,1954-01-01,,10D
616,geographic,in_service,US,MI,1947-01-01,,10D
617,geographic,in_service,US,MA,1947-01-01,,10D
618,geographic,in_service,US,IL,1947-01-01,,10D
619,geographic,in_service,US,CA,1982-01-01,714,1+10D
620,geographic,in_service,US,KS,2001-02-03,316,10D
621,geographic,in_service,US,TX,2025-01-23,346,10D
622,non_geographic,in_service,CANADA,,2015-03-23,,NA
623,geographic,in_service,US,AZ,1999-03-01,602,10D
624,geographic,in_service,US,NY,2023-11-16,716,10D
625,geographic,reserved,,,,,
626,geographic,in_service,US,CA,1997-06-14,818,1+10D
627,geographic,reserved,,,,,
628,geographic,in_service,US,CA,2015-03-21,415,1+10D
629,geographic,in_service,US,TN,2015-03-28,615,10D
630,geographic,in_service,US,IL,1996-08-03,708,1+10D
631,geographic,in_service,US,NY,1999-11-01,516,10D
632,geographic,unassigned,,,,,
633,non_geographic,in_service,CANADA,,2023-05-15,,NA
